"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Rabat Academy SARL","Santé & Bien-être","Healthcare","Tanger","175 Bd Zerktouni, Tanger, Morocco","Entreprise du secteur Healthcare basée à Tanger.","","","false","none","Healthcare,Tanger"
"Casaworks Resort SARL AU","Énergie & Environnement","Energy","Errachidia","184 Bd Anfa, Errachidia, Morocco","Entreprise du secteur Energy basée à Errachidia.","","","false","none","Energy,Errachidia"
"Apex Resort SAS","Technologie & IT","Telecom","Taza","60 Av Hassan II, Taza, Morocco","Entreprise du secteur Telecom basée à Taza.","","","false","none","Telecom,Taza"
"Omega Printing Centre","Industrie & Chimie","Printing & Packaging","Dakhla","178 Bd Zerktouni, Dakhla, Morocco","Entreprise du secteur Printing & Packaging basée à Dakhla.","","","false","none","Printing & Packaging,Dakhla"
"Casaworks Technologies Casablanca","Santé & Bien-être","Healthcare","Casablanca","197 Av Al Qods, Casablanca, Morocco","Entreprise du secteur Healthcare basée à Casablanca.","","","false","none","Healthcare,Casablanca"
"Rabat Sud Holding","Centres d'Appel & BPO","BPO / Call Center","Oujda","166 Av Mohammed VI, Oujda, Morocco","Entreprise du secteur BPO / Call Center basée à Oujda.","","","false","none","BPO / Call Center,Oujda"
"Dynamiq Eco Packaging","Industrie & Chimie","Textiles","Temara","32 Av Fal Ould Oumeir, Temara, Morocco","Entreprise du secteur Textiles basée à Temara.","","","false","none","Textiles,Temara"
"Apex Accounting Pharma","Banque & Finance","Accounting & Audit","La�youne","144 Bd Anfa, La�youne, Morocco","Entreprise du secteur Accounting & Audit basée à La�youne.","","","false","none","Accounting & Audit,La�youne"
"Al Yassir Plus Packaging","Transport & Logistique","Logistics & Transport","Larache","43 Bd Mohammed V, Larache, Morocco","Entreprise du secteur Logistics & Transport basée à Larache.","","","false","none","Logistics & Transport,Larache"
"Horizon Pharma Rabat","Banque & Finance","Banking","Rabat","4 Av Mohammed VI, Rabat, Morocco","Entreprise du secteur Banking basée à Rabat.","","","false","none","Banking,Rabat"
"Andalous Labs Casablanca","Immobilier & Construction","Real Estate","Casablanca","50 Bd Zerktouni, Casablanca, Morocco","Entreprise du secteur Real Estate basée à Casablanca.","","","false","none","Real Estate,Casablanca"
"Sahara Systems Ifrane","Services Professionnels","Cleaning Services","Ifrane","183 Bd Abdelmoumen, Ifrane, Morocco","Entreprise du secteur Cleaning Services basée à Ifrane.","","","false","none","Cleaning Services,Ifrane"
"Premium Marketing Packaging","Services Professionnels","Marketing & Advertising","Ksar El Kebir","34 Av Hassan II, Ksar El Kebir, Morocco","Entreprise du secteur Marketing & Advertising basée à Ksar El Kebir.","","","false","none","Marketing & Advertising,Ksar El Kebir"
"Al Bahja Sud Groupe","Éducation & Formation","Education","Taza","125 Bd Zerktouni, Taza, Morocco","Entreprise du secteur Education basée à Taza.","","","false","none","Education,Taza"
"Groupe Marocain Green Ltd.","Industrie & Chimie","Automotive","Rabat","55 Av Mohammed VI, Rabat, Morocco","Entreprise du secteur Automotive basée à Rabat.","","","false","none","Automotive,Rabat"
"Al Ibtikar Express Distribution","Banque & Finance","Accounting & Audit","Larache","48 Av Al Qods, Larache, Morocco","Entreprise du secteur Accounting & Audit basée à Larache.","","","false","none","Accounting & Audit,Larache"
"Maroc Foods Oujda","Immobilier & Construction","Construction","Oujda","18 Av Mohammed VI, Oujda, Morocco","Entreprise du secteur Construction basée à Oujda.","","","false","none","Construction,Oujda"
"Alpha Capital Guelmim Academy","Industrie & Chimie","Pharmaceuticals","Guelmim","197 Rue Moulay Youssef, Guelmim, Morocco","Entreprise du secteur Pharmaceuticals basée à Guelmim.","","","false","none","Pharmaceuticals,Guelmim"
"Al Nour Fusion Immobilier","Distribution & Commerce","Retail","Tétouan","5 Rue Ibn Sina, Tétouan, Morocco","Entreprise du secteur Retail basée à Tétouan.","","","false","none","Retail,Tétouan"
"Fes Pharmaceuticals Labs","Industrie & Chimie","Pharmaceuticals","Meknès","77 Bd Zerktouni, Meknès, Morocco","Entreprise du secteur Pharmaceuticals basée à Meknès.","","","false","none","Pharmaceuticals,Meknès"
"Agadir Nova Fès Solutions","Industrie & Chimie","Printing & Packaging","Fès","171 Av Al Qods, Fès, Morocco","Entreprise du secteur Printing & Packaging basée à Fès.","","","false","none","Printing & Packaging,Fès"
"Groupe Al Wifaq Nova Co.","Industrie & Chimie","Manufacturing","Tétouan","175 Bd Anfa, Tétouan, Morocco","Entreprise du secteur Manufacturing basée à Tétouan.","","","false","none","Manufacturing,Tétouan"
"Al Baraka Systems Khouribga","Immobilier & Construction","Construction","Khouribga","160 Av Al Qods, Khouribga, Morocco","Entreprise du secteur Construction basée à Khouribga.","","","false","none","Construction,Khouribga"
"Al Kheir Maintenance Ltd.","Immobilier & Construction","Real Estate","Errachidia","43 Bd Zerktouni, Errachidia, Morocco","Entreprise du secteur Real Estate basée à Errachidia.","","","false","none","Real Estate,Errachidia"
"Groupe Elite Avenir Ltd.","Industrie & Chimie","Agriculture","Errachidia","178 Av Mohammed VI, Errachidia, Morocco","Entreprise du secteur Agriculture basée à Errachidia.","","","false","none","Agriculture,Errachidia"
