"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Al Ibtikar Insurance Print","Banque & Finance","Insurance","Oujda","138 Rue Ibn Sina, Oujda, Morocco","Entreprise du secteur Insurance basée à Oujda.","","","false","none","Insurance,Oujda"
"Rif One Tanger Holding","Services Professionnels","Maintenance Services","Tanger","169 Av Mohammed VI, Tanger, Morocco","Entreprise du secteur Maintenance Services basée à Tanger.","","","false","none","Maintenance Services,Tanger"
"Casa Real Estate Pharma","Immobilier & Construction","Real Estate","Kenitra","8 Av Mohammed VI, Kenitra, Morocco","Entreprise du secteur Real Estate basée à Kenitra.","","","false","none","Real Estate,Kenitra"
"Al Wifaq Prime Construction","Transport & Logistique","Logistics & Transport","Larache","12 Bd Abdelmoumen, Larache, Morocco","Entreprise du secteur Logistics & Transport basée à Larache.","","","false","none","Logistics & Transport,Larache"
"Groupe Elite Capital Co.","Énergie & Environnement","Energy","Nador","105 Bd Abdelmoumen, Nador, Morocco","Entreprise du secteur Energy basée à Nador.","","","false","none","Energy,Nador"
"Fes Trade Systems","Industrie & Chimie","Manufacturing","Béni Mellal","154 Bd Moulay Ismail, Béni Mellal, Morocco","Entreprise du secteur Manufacturing basée à Béni Mellal.","","","false","none","Manufacturing,Béni Mellal"
"Groupe Rif Impact SARL","Industrie & Chimie","Mining","Marrakech","83 Bd Anfa, Marrakech, Morocco","Entreprise du secteur Mining basée à Marrakech.","","","false","none","Mining,Marrakech"
"Ibn Group Salé","Éducation & Formation","Education","Salé","162 Bd Zerktouni, Salé, Morocco","Entreprise du secteur Education basée à Salé.","","","false","none","Education,Salé"
"Al Maghrib Hospital SARL","Industrie & Chimie","Printing & Packaging","Salé","105 Av Fal Ould Oumeir, Salé, Morocco","Entreprise du secteur Printing & Packaging basée à Salé.","","","false","none","Printing & Packaging,Salé"
"Elite One Construction","Industrie & Chimie","Manufacturing","Nador","177 Rue Ibn Sina, Nador, Morocco","Entreprise du secteur Manufacturing basée à Nador.","","","false","none","Manufacturing,Nador"
"Dar Marketing Engineering","Services Professionnels","Marketing & Advertising","Marrakech","30 Bd Abdelmoumen, Marrakech, Morocco","Entreprise du secteur Marketing & Advertising basée à Marrakech.","","","false","none","Marketing & Advertising,Marrakech"
"Al Maghrib Import/Export Nettoyage","Distribution & Commerce","Import/Export","Settat","158 Bd Moulay Ismail, Settat, Morocco","Entreprise du secteur Import/Export basée à Settat.","","","false","none","Import/Export,Settat"
"Groupe Industries Settat","Technologie & IT","Telecom","Settat","175 Bd Zerktouni, Settat, Morocco","Entreprise du secteur Telecom basée à Settat.","","","false","none","Telecom,Settat"
"Ibn One Centre","Industrie & Chimie","Pharmaceuticals","La�youne","66 Rue Ibn Sina, La�youne, Morocco","Entreprise du secteur Pharmaceuticals basée à La�youne.","","","false","none","Pharmaceuticals,La�youne"
"Al Atlas Pharmaceuticals Centre","Industrie & Chimie","Pharmaceuticals","Larache","88 Av Hassan II, Larache, Morocco","Entreprise du secteur Pharmaceuticals basée à Larache.","","","false","none","Pharmaceuticals,Larache"
"Omega Eco Berkane Industries","Industrie & Chimie","Manufacturing","Berkane","102 Bd Anfa, Berkane, Morocco","Entreprise du secteur Manufacturing basée à Berkane.","","","false","none","Manufacturing,Berkane"
"Fes Resort SARL","Technologie & IT","Telecom","El Jadida","25 Av Al Qods, El Jadida, Morocco","Entreprise du secteur Telecom basée à El Jadida.","","","false","none","Telecom,El Jadida"
"Groupe Orient Marina SARL AU","Transport & Logistique","Logistics & Transport","Errachidia","194 Rue Moulay Youssef, Errachidia, Morocco","Entreprise du secteur Logistics & Transport basée à Errachidia.","","","false","none","Logistics & Transport,Errachidia"
"Al Massar Market Ltd.","Industrie & Chimie","Automotive","Nador","149 Rue Moulay Youssef, Nador, Morocco","Entreprise du secteur Automotive basée à Nador.","","","false","none","Automotive,Nador"
"Nour Direct Holding","Distribution & Commerce","E-commerce","Temara","45 Rue Al Massira, Temara, Morocco","Entreprise du secteur E-commerce basée à Temara.","","","false","none","E-commerce,Temara"
"Orient Accounting Foods","Banque & Finance","Accounting & Audit","Nador","67 Bd Mohammed V, Nador, Morocco","Entreprise du secteur Accounting & Audit basée à Nador.","","","false","none","Accounting & Audit,Nador"
"Casaworks Resort Salé","Immobilier & Construction","Construction","Salé","1 Rue Moulay Youssef, Salé, Morocco","Entreprise du secteur Construction basée à Salé.","","","false","none","Construction,Salé"
"Atlas Tech Immobilier","Transport & Logistique","Logistics & Transport","Ksar El Kebir","59 Bd Anfa, Ksar El Kebir, Morocco","Entreprise du secteur Logistics & Transport basée à Ksar El Kebir.","","","false","none","Logistics & Transport,Ksar El Kebir"
"Dynamiq Nova Fès Systems","Transport & Logistique","Logistics & Transport","Fès","188 Bd Moulay Ismail, Fès, Morocco","Entreprise du secteur Logistics & Transport basée à Fès.","","","false","none","Logistics & Transport,Fès"
"Al Fath Logistics Industries","Transport & Logistique","Logistics & Transport","Tanger","55 Bd Abdelmoumen, Tanger, Morocco","Entreprise du secteur Logistics & Transport basée à Tanger.","","","false","none","Logistics & Transport,Tanger"
"Groupe Al Manar Impact Ltd.","Banque & Finance","Accounting & Audit","Guelmim","158 Bd Moulay Ismail, Guelmim, Morocco","Entreprise du secteur Accounting & Audit basée à Guelmim.","","","false","none","Accounting & Audit,Guelmim"
