"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Groupe Sahara Tech SARL","Immobilier & Construction","Construction","Settat","143 Av Al Qods, Settat, Morocco","Entreprise du secteur Construction basée à Settat.","","","false","none","Construction,Settat"
"Al Massar Conseil Agadir","Technologie & IT","Telecom","Agadir","4 Rue Moulay Youssef, Agadir, Morocco","Entreprise du secteur Telecom basée à Agadir.","","","false","none","Telecom,Agadir"
"Al Amal Nord Taza School","Éducation & Formation","Education","Taza","148 Av Al Qods, Taza, Morocco","Entreprise du secteur Education basée à Taza.","","","false","none","Education,Taza"
"Nova Holding Casablanca","Services Professionnels","Maintenance Services","Casablanca","13 Rue Ibn Sina, Casablanca, Morocco","Entreprise du secteur Maintenance Services basée à Casablanca.","","","false","none","Maintenance Services,Casablanca"
"Sahara Immobilier SARL","Banque & Finance","Banking","Ifrane","43 Rue Al Massira, Ifrane, Morocco","Entreprise du secteur Banking basée à Ifrane.","","","false","none","Banking,Ifrane"
"Al Manar Resort SA","Services Professionnels","Security Services","Berkane","79 Rue Moulay Youssef, Berkane, Morocco","Entreprise du secteur Security Services basée à Berkane.","","","false","none","Security Services,Berkane"
"Premium Cleaning Services Solutions","Services Professionnels","Cleaning Services","Temara","39 Av Hassan II, Temara, Morocco","Entreprise du secteur Cleaning Services basée à Temara.","","","false","none","Cleaning Services,Temara"
"Groupe Dar Al Express SARL AU","Industrie & Chimie","Textiles","Mohammedia","100 Rue Ibn Sina, Mohammedia, Morocco","Entreprise du secteur Textiles basée à Mohammedia.","","","false","none","Textiles,Mohammedia"
"Nova Connect Partenaires","Industrie & Chimie","Pharmaceuticals","Fès","154 Av Mohammed VI, Fès, Morocco","Entreprise du secteur Pharmaceuticals basée à Fès.","","","false","none","Pharmaceuticals,Fès"
"Rif Impact Marrakech Solutions","Industrie & Chimie","Manufacturing","Marrakech","124 Rue Al Massira, Marrakech, Morocco","Entreprise du secteur Manufacturing basée à Marrakech.","","","false","none","Manufacturing,Marrakech"
"Groupe Al Atlas Sud SAS","Services Professionnels","Security Services","Safi","129 Rue Moulay Youssef, Safi, Morocco","Entreprise du secteur Security Services basée à Safi.","","","false","none","Security Services,Safi"
"Rabat Media Distribution","Industrie & Chimie","Printing & Packaging","Tétouan","14 Rue Moulay Youssef, Tétouan, Morocco","Entreprise du secteur Printing & Packaging basée à Tétouan.","","","false","none","Printing & Packaging,Tétouan"
"Al Fath Engineering Foods","Services Professionnels","Engineering","Meknès","67 Bd Abdelmoumen, Meknès, Morocco","Entreprise du secteur Engineering basée à Meknès.","","","false","none","Engineering,Meknès"
"Al Amal Consulting La�youne","Énergie & Environnement","Energy","La�youne","90 Rue Moulay Youssef, La�youne, Morocco","Entreprise du secteur Energy basée à La�youne.","","","false","none","Energy,La�youne"
"Dynamiq Care Trading","Services Professionnels","Marketing & Advertising","Taza","46 Av Mohammed VI, Taza, Morocco","Entreprise du secteur Marketing & Advertising basée à Taza.","","","false","none","Marketing & Advertising,Taza"
"Al Media El Jadida Academy","Services Professionnels","Legal Services","El Jadida","7 Av Al Qods, El Jadida, Morocco","Entreprise du secteur Legal Services basée à El Jadida.","","","false","none","Legal Services,El Jadida"
"Apex Pharmaceuticals Clinic","Industrie & Chimie","Pharmaceuticals","Fès","47 Rue Ibn Sina, Fès, Morocco","Entreprise du secteur Pharmaceuticals basée à Fès.","","","false","none","Pharmaceuticals,Fès"
"Groupe Al Baraka Tech SARL","Industrie & Chimie","Automotive","Dakhla","143 Bd Moulay Ismail, Dakhla, Morocco","Entreprise du secteur Automotive basée à Dakhla.","","","false","none","Automotive,Dakhla"
"Groupe Royal Services","Immobilier & Construction","Construction","Ksar El Kebir","49 Rue Moulay Youssef, Ksar El Kebir, Morocco","Entreprise du secteur Construction basée à Ksar El Kebir.","","","false","none","Construction,Ksar El Kebir"
"Nour Marketing Distribution","Services Professionnels","Marketing & Advertising","Ifrane","151 Av Mohammed VI, Ifrane, Morocco","Entreprise du secteur Marketing & Advertising basée à Ifrane.","","","false","none","Marketing & Advertising,Ifrane"
"Marocain Construction Packaging","Immobilier & Construction","Construction","La�youne","3 Bd Zerktouni, La�youne, Morocco","Entreprise du secteur Construction basée à La�youne.","","","false","none","Construction,La�youne"
"Groupe Horizon Trade SA","Services Professionnels","Maintenance Services","Béni Mellal","48 Bd Abdelmoumen, Béni Mellal, Morocco","Entreprise du secteur Maintenance Services basée à Béni Mellal.","","","false","none","Maintenance Services,Béni Mellal"
"Casa Direct Academy","Hôtels & Hébergement","Hospitality","Nador","34 Bd Moulay Ismail, Nador, Morocco","Entreprise du secteur Hospitality basée à Nador.","","","false","none","Hospitality,Nador"
"Groupe Royal Casablanca Distribution","Énergie & Environnement","Energy","Casablanca","131 Rue Ibn Sina, Casablanca, Morocco","Entreprise du secteur Energy basée à Casablanca.","","","false","none","Energy,Casablanca"
"Al Maghrib Ingénierie Larache","Industrie & Chimie","Automotive","Larache","89 Bd Mohammed V, Larache, Morocco","Entreprise du secteur Automotive basée à Larache.","","","false","none","Automotive,Larache"
"Vertex Prestige Tanger Technologies","Technologie & IT","IT & Software","Tanger","101 Av Mohammed VI, Tanger, Morocco","Entreprise du secteur IT & Software basée à Tanger.","","","false","none","IT & Software,Tanger"
"Al Nour Centre Hotel","Distribution & Commerce","Import/Export","Dakhla","57 Bd Anfa, Dakhla, Morocco","Entreprise du secteur Import/Export basée à Dakhla.","","","false","none","Import/Export,Dakhla"
"Al Fath Pharma Agadir","Services Professionnels","Marketing & Advertising","Agadir","169 Rue Moulay Youssef, Agadir, Morocco","Entreprise du secteur Marketing & Advertising basée à Agadir.","","","false","none","Marketing & Advertising,Agadir"
"Rabat Connect Béni Mellal Engineering","Industrie & Chimie","Printing & Packaging","Béni Mellal","32 Av Mohammed VI, Béni Mellal, Morocco","Entreprise du secteur Printing & Packaging basée à Béni Mellal.","","","false","none","Printing & Packaging,Béni Mellal"
"Marocain Marketing Maintenance","Services Professionnels","Marketing & Advertising","Meknès","101 Bd Anfa, Meknès, Morocco","Entreprise du secteur Marketing & Advertising basée à Meknès.","","","false","none","Marketing & Advertising,Meknès"
"Alpha Express Group","Industrie & Chimie","Automotive","Marrakech","190 Bd Zerktouni, Marrakech, Morocco","Entreprise du secteur Automotive basée à Marrakech.","","","false","none","Automotive,Marrakech"
"Nova Transport Marrakech","Distribution & Commerce","Retail","Marrakech","47 Rue Ibn Sina, Marrakech, Morocco","Entreprise du secteur Retail basée à Marrakech.","","","false","none","Retail,Marrakech"
"Global Services Fès","Services Professionnels","Engineering","Fès","174 Rue Moulay Youssef, Fès, Morocco","Entreprise du secteur Engineering basée à Fès.","","","false","none","Engineering,Fès"
"Al Kheir Connect Errachidia Consulting","Distribution & Commerce","Food & Beverage","Errachidia","56 Av Al Qods, Errachidia, Morocco","Entreprise du secteur Food & Beverage basée à Errachidia.","","","false","none","Food & Beverage,Errachidia"
"Al Nour City Nador Group","Santé & Bien-être","Healthcare","Nador","113 Bd Zerktouni, Nador, Morocco","Entreprise du secteur Healthcare basée à Nador.","","","false","none","Healthcare,Nador"
"Al Kheir Care Centre","Banque & Finance","Accounting & Audit","Berkane","100 Bd Zerktouni, Berkane, Morocco","Entreprise du secteur Accounting & Audit basée à Berkane.","","","false","none","Accounting & Audit,Berkane"
"Premium Direct Dakhla Conseil","Services Professionnels","Cleaning Services","Dakhla","112 Av Mohammed VI, Dakhla, Morocco","Entreprise du secteur Cleaning Services basée à Dakhla.","","","false","none","Cleaning Services,Dakhla"
"Al Sud Béni Mellal Partners","Services Professionnels","Maintenance Services","Béni Mellal","60 Av Hassan II, Béni Mellal, Morocco","Entreprise du secteur Maintenance Services basée à Béni Mellal.","","","false","none","Maintenance Services,Béni Mellal"
"Al Manar IT Solutions","Technologie & IT","IT & Software","La�youne","9 Rue Al Massira, La�youne, Morocco","Entreprise du secteur IT & Software basée à La�youne.","","","false","none","IT & Software,La�youne"
"Elite Legal Services Industries","Services Professionnels","Legal Services","Meknès","169 Av Hassan II, Meknès, Morocco","Entreprise du secteur Legal Services basée à Meknès.","","","false","none","Legal Services,Meknès"
"Al Baraka Industry Ltd.","Immobilier & Construction","Construction","Temara","179 Bd Mohammed V, Temara, Morocco","Entreprise du secteur Construction basée à Temara.","","","false","none","Construction,Temara"
"Groupe Elite Nova SARL","Services Professionnels","Security Services","Oujda","133 Av Hassan II, Oujda, Morocco","Entreprise du secteur Security Services basée à Oujda.","","","false","none","Security Services,Oujda"
"Marrakech Technologies Safi","Éducation & Formation","Education","Safi","131 Av Al Qods, Safi, Morocco","Entreprise du secteur Education basée à Safi.","","","false","none","Education,Safi"
"Sahara Engineering Pharma","Services Professionnels","Engineering","Ouarzazate","178 Rue Ibn Sina, Ouarzazate, Morocco","Entreprise du secteur Engineering basée à Ouarzazate.","","","false","none","Engineering,Ouarzazate"
"Al Manar Logistics Store","Transport & Logistique","Logistics & Transport","Béni Mellal","78 Bd Mohammed V, Béni Mellal, Morocco","Entreprise du secteur Logistics & Transport basée à Béni Mellal.","","","false","none","Logistics & Transport,Béni Mellal"
"Nour Legal Services Services","Services Professionnels","Legal Services","Kenitra","93 Av Hassan II, Kenitra, Morocco","Entreprise du secteur Legal Services basée à Kenitra.","","","false","none","Legal Services,Kenitra"
"Al Ibtikar Trade Safi Hotel","Services Professionnels","Engineering","Safi","13 Bd Abdelmoumen, Safi, Morocco","Entreprise du secteur Engineering basée à Safi.","","","false","none","Engineering,Safi"
"Groupe Al Bahja One SAS","Industrie & Chimie","Pharmaceuticals","Taza","197 Av Fal Ould Oumeir, Taza, Morocco","Entreprise du secteur Pharmaceuticals basée à Taza.","","","false","none","Pharmaceuticals,Taza"
"Groupe Al Waha Nord Co.","Immobilier & Construction","Real Estate","Khouribga","168 Rue Ibn Sina, Khouribga, Morocco","Entreprise du secteur Real Estate basée à Khouribga.","","","false","none","Real Estate,Khouribga"
"Premium Green Sécurité","Technologie & IT","Telecom","Rabat","167 Rue Al Massira, Rabat, Morocco","Entreprise du secteur Telecom basée à Rabat.","","","false","none","Telecom,Rabat"
"Groupe Al Kheir Nova SARL AU","Transport & Logistique","Logistics & Transport","Agadir","87 Bd Anfa, Agadir, Morocco","Entreprise du secteur Logistics & Transport basée à Agadir.","","","false","none","Logistics & Transport,Agadir"
"Atlas Education Trading","Éducation & Formation","Education","Nador","153 Bd Anfa, Nador, Morocco","Entreprise du secteur Education basée à Nador.","","","false","none","Education,Nador"
"Marrakech Impact Clinic","Distribution & Commerce","E-commerce","Casablanca","131 Av Fal Ould Oumeir, Casablanca, Morocco","Entreprise du secteur E-commerce basée à Casablanca.","","","false","none","E-commerce,Casablanca"
"Elite Sud Conseil","Industrie & Chimie","Automotive","Rabat","77 Bd Zerktouni, Rabat, Morocco","Entreprise du secteur Automotive basée à Rabat.","","","false","none","Automotive,Rabat"
"Nova Food Partners","Distribution & Commerce","Food & Beverage","Dakhla","186 Av Hassan II, Dakhla, Morocco","Entreprise du secteur Food & Beverage basée à Dakhla.","","","false","none","Food & Beverage,Dakhla"
"Apex Systems Agadir","Services Professionnels","Consulting","Agadir","37 Bd Anfa, Agadir, Morocco","Entreprise du secteur Consulting basée à Agadir.","","","false","none","Consulting,Agadir"
"Al Atlas Marketing Packaging","Services Professionnels","Marketing & Advertising","Nador","143 Bd Anfa, Nador, Morocco","Entreprise du secteur Marketing & Advertising basée à Nador.","","","false","none","Marketing & Advertising,Nador"
"Groupe Casaworks One Co.","Technologie & IT","IT & Software","Marrakech","45 Av Mohammed VI, Marrakech, Morocco","Entreprise du secteur IT & Software basée à Marrakech.","","","false","none","IT & Software,Marrakech"
"Rif Industry Berkane","Énergie & Environnement","Energy","Berkane","59 Av Fal Ould Oumeir, Berkane, Morocco","Entreprise du secteur Energy basée à Berkane.","","","false","none","Energy,Berkane"
"Groupe Nour Media SARL","Industrie & Chimie","Automotive","Rabat","11 Av Al Qods, Rabat, Morocco","Entreprise du secteur Automotive basée à Rabat.","","","false","none","Automotive,Rabat"
"Groupe Al Waha Build SA","Centres d'Appel & BPO","BPO / Call Center","Taza","66 Bd Anfa, Taza, Morocco","Entreprise du secteur BPO / Call Center basée à Taza.","","","false","none","BPO / Call Center,Taza"
"Vertex Accounting Consulting","Banque & Finance","Accounting & Audit","Ouarzazate","50 Av Al Qods, Ouarzazate, Morocco","Entreprise du secteur Accounting & Audit basée à Ouarzazate.","","","false","none","Accounting & Audit,Ouarzazate"
"Al Wifaq Nettoyage SAS","Distribution & Commerce","Food & Beverage","Berkane","25 Bd Mohammed V, Berkane, Morocco","Entreprise du secteur Food & Beverage basée à Berkane.","","","false","none","Food & Beverage,Berkane"
"Marrakech Innov Meknès Transport","Industrie & Chimie","Pharmaceuticals","Meknès","155 Av Mohammed VI, Meknès, Morocco","Entreprise du secteur Pharmaceuticals basée à Meknès.","","","false","none","Pharmaceuticals,Meknès"
"Tanger Labs SA","Industrie & Chimie","Automotive","La�youne","36 Bd Mohammed V, La�youne, Morocco","Entreprise du secteur Automotive basée à La�youne.","","","false","none","Automotive,La�youne"
"Al Bahja Impact Partenaires","Immobilier & Construction","Real Estate","Mohammedia","95 Bd Abdelmoumen, Mohammedia, Morocco","Entreprise du secteur Real Estate basée à Mohammedia.","","","false","none","Real Estate,Mohammedia"
"Dar Al Education Group","Éducation & Formation","Education","Oujda","181 Av Al Qods, Oujda, Morocco","Entreprise du secteur Education basée à Oujda.","","","false","none","Education,Oujda"
"Groupe Dar Al Trade SARL","Transport & Logistique","Logistics & Transport","Meknès","136 Bd Mohammed V, Meknès, Morocco","Entreprise du secteur Logistics & Transport basée à Meknès.","","","false","none","Logistics & Transport,Meknès"
"Nour Resort SAS","Industrie & Chimie","Agriculture","Khemisset","130 Rue Al Massira, Khemisset, Morocco","Entreprise du secteur Agriculture basée à Khemisset.","","","false","none","Agriculture,Khemisset"
"Omega Smart Kenitra Holding","Services Professionnels","Consulting","Kenitra","42 Av Hassan II, Kenitra, Morocco","Entreprise du secteur Consulting basée à Kenitra.","","","false","none","Consulting,Kenitra"
"Casa Park Rabat Distribution","Technologie & IT","Telecom","Rabat","120 Av Fal Ould Oumeir, Rabat, Morocco","Entreprise du secteur Telecom basée à Rabat.","","","false","none","Telecom,Rabat"
"Al Baraka Real Estate Immobilier","Immobilier & Construction","Real Estate","Temara","118 Bd Zerktouni, Temara, Morocco","Entreprise du secteur Real Estate basée à Temara.","","","false","none","Real Estate,Temara"
"Fes One Taza Resort","Services Professionnels","Consulting","Taza","100 Rue Moulay Youssef, Taza, Morocco","Entreprise du secteur Consulting basée à Taza.","","","false","none","Consulting,Taza"
"Al Nour BPO / Call Center Partenaires","Centres d'Appel & BPO","BPO / Call Center","Casablanca","164 Av Fal Ould Oumeir, Casablanca, Morocco","Entreprise du secteur BPO / Call Center basée à Casablanca.","","","false","none","BPO / Call Center,Casablanca"
"Global Hospital Taza","Services Professionnels","Maintenance Services","Taza","29 Av Hassan II, Taza, Morocco","Entreprise du secteur Maintenance Services basée à Taza.","","","false","none","Maintenance Services,Taza"
"Premium Print La�youne","Distribution & Commerce","Import/Export","La�youne","123 Rue Moulay Youssef, La�youne, Morocco","Entreprise du secteur Import/Export basée à La�youne.","","","false","none","Import/Export,La�youne"
"Dar Sud Mohammedia Maintenance","Banque & Finance","Insurance","Mohammedia","11 Bd Moulay Ismail, Mohammedia, Morocco","Entreprise du secteur Insurance basée à Mohammedia.","","","false","none","Insurance,Mohammedia"
"Vertex Logistique SA","Services Professionnels","Cleaning Services","Khouribga","18 Bd Anfa, Khouribga, Morocco","Entreprise du secteur Cleaning Services basée à Khouribga.","","","false","none","Cleaning Services,Khouribga"
"Dar Pharma SARL","Services Professionnels","Maintenance Services","Ouarzazate","99 Av Mohammed VI, Ouarzazate, Morocco","Entreprise du secteur Maintenance Services basée à Ouarzazate.","","","false","none","Maintenance Services,Ouarzazate"
"Groupe Al Massar Impact SARL","Énergie & Environnement","Energy","Temara","40 Bd Mohammed V, Temara, Morocco","Entreprise du secteur Energy basée à Temara.","","","false","none","Energy,Temara"
"Sahara Logistics Groupe","Transport & Logistique","Logistics & Transport","Dakhla","184 Av Hassan II, Dakhla, Morocco","Entreprise du secteur Logistics & Transport basée à Dakhla.","","","false","none","Logistics & Transport,Dakhla"
"Al Baraka Direct Industry","Immobilier & Construction","Construction","Meknès","29 Bd Mohammed V, Meknès, Morocco","Entreprise du secteur Construction basée à Meknès.","","","false","none","Construction,Meknès"
"Nova Conseil Khemisset","Technologie & IT","Telecom","Khemisset","90 Bd Mohammed V, Khemisset, Morocco","Entreprise du secteur Telecom basée à Khemisset.","","","false","none","Telecom,Khemisset"
"Union Banking Resort","Banque & Finance","Banking","Ksar El Kebir","196 Rue Ibn Sina, Ksar El Kebir, Morocco","Entreprise du secteur Banking basée à Ksar El Kebir.","","","false","none","Banking,Ksar El Kebir"
"Tanger Transport Mohammedia","Services Professionnels","Security Services","Mohammedia","21 Av Al Qods, Mohammedia, Morocco","Entreprise du secteur Security Services basée à Mohammedia.","","","false","none","Security Services,Mohammedia"
