"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Al Nour Telecom Transport","Technologie & IT","Telecom","Safi","14 Av Al Qods, Safi, Morocco","Entreprise du secteur Telecom basée à Safi.","","","false","none","Telecom,Safi"
"Groupe Ibn Sud SARL","Industrie & Chimie","Automotive","Ksar El Kebir","192 Bd Abdelmoumen, Ksar El Kebir, Morocco","Entreprise du secteur Automotive basée à Ksar El Kebir.","","","false","none","Automotive,Ksar El Kebir"
"Casa Consulting SAS","Énergie & Environnement","Energy","La�youne","151 Rue Al Massira, La�youne, Morocco","Entreprise du secteur Energy basée à La�youne.","","","false","none","Energy,La�youne"
"Agadir Centre Khouribga Partners","Services Professionnels","Consulting","Khouribga","76 Av Al Qods, Khouribga, Morocco","Entreprise du secteur Consulting basée à Khouribga.","","","false","none","Consulting,Khouribga"
"Al Marina Trading","Services Professionnels","Cleaning Services","Taza","82 Av Fal Ould Oumeir, Taza, Morocco","Entreprise du secteur Cleaning Services basée à Taza.","","","false","none","Cleaning Services,Taza"
"Casaworks Nord El Jadida Conseil","Éducation & Formation","Education","El Jadida","190 Av Fal Ould Oumeir, El Jadida, Morocco","Entreprise du secteur Education basée à El Jadida.","","","false","none","Education,El Jadida"
"Amazigh Textiles Construction","Industrie & Chimie","Textiles","Tanger","46 Bd Abdelmoumen, Tanger, Morocco","Entreprise du secteur Textiles basée à Tanger.","","","false","none","Textiles,Tanger"
"Al Manar City Khouribga Technologies","Industrie & Chimie","Textiles","Khouribga","68 Bd Moulay Ismail, Khouribga, Morocco","Entreprise du secteur Textiles basée à Khouribga.","","","false","none","Textiles,Khouribga"
"Horizon Park Safi Partenaires","Industrie & Chimie","Manufacturing","Safi","40 Rue Al Massira, Safi, Morocco","Entreprise du secteur Manufacturing basée à Safi.","","","false","none","Manufacturing,Safi"
"Union Avenir Fès Nettoyage","Industrie & Chimie","Textiles","Fès","107 Av Fal Ould Oumeir, Fès, Morocco","Entreprise du secteur Textiles basée à Fès.","","","false","none","Textiles,Fès"
"Maroc Immobilier SA","Services Professionnels","Marketing & Advertising","Larache","69 Bd Anfa, Larache, Morocco","Entreprise du secteur Marketing & Advertising basée à Larache.","","","false","none","Marketing & Advertising,Larache"
"Dar Al Université Privée SARL","Services Professionnels","Consulting","Settat","1 Bd Zerktouni, Settat, Morocco","Entreprise du secteur Consulting basée à Settat.","","","false","none","Consulting,Settat"
