"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Al Yassir Mining Market","Industrie & Chimie","Mining","Oujda","38 Av Fal Ould Oumeir, Oujda, Morocco","Entreprise du secteur Mining basée à Oujda.","","","false","none","Mining,Oujda"
"Dar Al Capital Industry","Immobilier & Construction","Construction","Tétouan","59 Av Mohammed VI, Tétouan, Morocco","Entreprise du secteur Construction basée à Tétouan.","","","false","none","Construction,Tétouan"
"Groupe Agadir Build SAS","Distribution & Commerce","Retail","Tanger","197 Bd Zerktouni, Tanger, Morocco","Entreprise du secteur Retail basée à Tanger.","","","false","none","Retail,Tanger"
"Atlas Green La�youne Engineering","Technologie & IT","Telecom","La�youne","52 Bd Abdelmoumen, La�youne, Morocco","Entreprise du secteur Telecom basée à La�youne.","","","false","none","Telecom,La�youne"
"Groupe Maghreb Green SARL","Banque & Finance","Insurance","Marrakech","24 Rue Ibn Sina, Marrakech, Morocco","Entreprise du secteur Insurance basée à Marrakech.","","","false","none","Insurance,Marrakech"
"Al Bahja Groupe Ltd.","Immobilier & Construction","Real Estate","Dakhla","73 Bd Zerktouni, Dakhla, Morocco","Entreprise du secteur Real Estate basée à Dakhla.","","","false","none","Real Estate,Dakhla"
"Al Wifaq Automotive Centre","Industrie & Chimie","Automotive","El Jadida","162 Bd Mohammed V, El Jadida, Morocco","Entreprise du secteur Automotive basée à El Jadida.","","","false","none","Automotive,El Jadida"
"Dar Print Berkane","Services Professionnels","Consulting","Berkane","182 Rue Al Massira, Berkane, Morocco","Entreprise du secteur Consulting basée à Berkane.","","","false","none","Consulting,Berkane"
"Dar City Dakhla Industry","Banque & Finance","Insurance","Dakhla","198 Av Hassan II, Dakhla, Morocco","Entreprise du secteur Insurance basée à Dakhla.","","","false","none","Insurance,Dakhla"
"Al Nour Real Estate Centre","Immobilier & Construction","Real Estate","Safi","12 Rue Moulay Youssef, Safi, Morocco","Entreprise du secteur Real Estate basée à Safi.","","","false","none","Real Estate,Safi"
"Al Ibtikar BPO / Call Center Services","Centres d'Appel & BPO","BPO / Call Center","La�youne","31 Bd Zerktouni, La�youne, Morocco","Entreprise du secteur BPO / Call Center basée à La�youne.","","","false","none","BPO / Call Center,La�youne"
"Rif Market Ifrane","Industrie & Chimie","Mining","Ifrane","81 Rue Ibn Sina, Ifrane, Morocco","Entreprise du secteur Mining basée à Ifrane.","","","false","none","Mining,Ifrane"
"Amazigh Innov Hospital","Technologie & IT","IT & Software","Ouarzazate","198 Rue Al Massira, Ouarzazate, Morocco","Entreprise du secteur IT & Software basée à Ouarzazate.","","","false","none","IT & Software,Ouarzazate"
"Dar Al Immobilier Co.","Industrie & Chimie","Textiles","Guelmim","161 Rue Al Massira, Guelmim, Morocco","Entreprise du secteur Textiles basée à Guelmim.","","","false","none","Textiles,Guelmim"
"Al Massar Education Partenaires","Éducation & Formation","Education","Tétouan","131 Bd Anfa, Tétouan, Morocco","Entreprise du secteur Education basée à Tétouan.","","","false","none","Education,Tétouan"
"Al Baraka Prestige Construction","Services Professionnels","Cleaning Services","Larache","168 Bd Mohammed V, Larache, Morocco","Entreprise du secteur Cleaning Services basée à Larache.","","","false","none","Cleaning Services,Larache"
"Orient Tech Consulting","Immobilier & Construction","Construction","Guelmim","76 Bd Abdelmoumen, Guelmim, Morocco","Entreprise du secteur Construction basée à Guelmim.","","","false","none","Construction,Guelmim"
