"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Groupe Rabat Avenir Ltd.","Énergie & Environnement","Energy","Temara","57 Bd Zerktouni, Temara, Morocco","Entreprise du secteur Energy basée à Temara.","","","false","none","Energy,Temara"
"Maroc Insurance Market","Banque & Finance","Insurance","Temara","52 Bd Zerktouni, Temara, Morocco","Entreprise du secteur Insurance basée à Temara.","","","false","none","Insurance,Temara"
"Andalous Clinic Casablanca","Distribution & Commerce","Retail","Casablanca","45 Bd Moulay Ismail, Casablanca, Morocco","Entreprise du secteur Retail basée à Casablanca.","","","false","none","Retail,Casablanca"
"Al Nour Direct Construction","Services Professionnels","Security Services","Mohammedia","155 Rue Ibn Sina, Mohammedia, Morocco","Entreprise du secteur Security Services basée à Mohammedia.","","","false","none","Security Services,Mohammedia"
"Al Kheir Pharmaceuticals Services","Industrie & Chimie","Pharmaceuticals","La�youne","21 Av Al Qods, La�youne, Morocco","Entreprise du secteur Pharmaceuticals basée à La�youne.","","","false","none","Pharmaceuticals,La�youne"
"Al Massar Banking Academy","Banque & Finance","Banking","Béni Mellal","196 Rue Moulay Youssef, Béni Mellal, Morocco","Entreprise du secteur Banking basée à Béni Mellal.","","","false","none","Banking,Béni Mellal"
"Groupe Al Fath Smart SAS","Services Professionnels","Maintenance Services","Berkane","186 Rue Ibn Sina, Berkane, Morocco","Entreprise du secteur Maintenance Services basée à Berkane.","","","false","none","Maintenance Services,Berkane"
"Al Baraka Express Market","Distribution & Commerce","Retail","Errachidia","128 Rue Moulay Youssef, Errachidia, Morocco","Entreprise du secteur Retail basée à Errachidia.","","","false","none","Retail,Errachidia"
"Fes Smart Partenaires","Distribution & Commerce","Food & Beverage","Salé","176 Av Hassan II, Salé, Morocco","Entreprise du secteur Food & Beverage basée à Salé.","","","false","none","Food & Beverage,Salé"
"Atlas Royal Groupe","Distribution & Commerce","Import/Export","Salé","80 Av Al Qods, Salé, Morocco","Entreprise du secteur Import/Export basée à Salé.","","","false","none","Import/Export,Salé"
"Maroc Maintenance Meknès","Services Professionnels","Consulting","Meknès","79 Av Al Qods, Meknès, Morocco","Entreprise du secteur Consulting basée à Meknès.","","","false","none","Consulting,Meknès"
"Al Amal Conseil Co.","Distribution & Commerce","Import/Export","Mohammedia","110 Rue Moulay Youssef, Mohammedia, Morocco","Entreprise du secteur Import/Export basée à Mohammedia.","","","false","none","Import/Export,Mohammedia"
"Al Nour Education Partenaires","Éducation & Formation","Education","El Jadida","189 Rue Moulay Youssef, El Jadida, Morocco","Entreprise du secteur Education basée à El Jadida.","","","false","none","Education,El Jadida"
"Elite Maintenance Services Groupe","Services Professionnels","Maintenance Services","Salé","105 Rue Ibn Sina, Salé, Morocco","Entreprise du secteur Maintenance Services basée à Salé.","","","false","none","Maintenance Services,Salé"
"Orient Education Services","Éducation & Formation","Education","Mohammedia","57 Bd Moulay Ismail, Mohammedia, Morocco","Entreprise du secteur Education basée à Mohammedia.","","","false","none","Education,Mohammedia"
"Al Moutamayyiz Centre SARL AU","Centres d'Appel & BPO","BPO / Call Center","Berkane","8 Bd Zerktouni, Berkane, Morocco","Entreprise du secteur BPO / Call Center basée à Berkane.","","","false","none","BPO / Call Center,Berkane"
"Dar Al Pro Trading","Banque & Finance","Accounting & Audit","La�youne","61 Rue Ibn Sina, La�youne, Morocco","Entreprise du secteur Accounting & Audit basée à La�youne.","","","false","none","Accounting & Audit,La�youne"
"Al Manar Royal La�youne Nettoyage","Énergie & Environnement","Energy","La�youne","39 Bd Moulay Ismail, La�youne, Morocco","Entreprise du secteur Energy basée à La�youne.","","","false","none","Energy,La�youne"
"Global Technologies Berkane","Santé & Bien-être","Healthcare","Berkane","166 Av Mohammed VI, Berkane, Morocco","Entreprise du secteur Healthcare basée à Berkane.","","","false","none","Healthcare,Berkane"
"Union Connect Agadir Industry","Santé & Bien-être","Healthcare","Agadir","181 Rue Al Massira, Agadir, Morocco","Entreprise du secteur Healthcare basée à Agadir.","","","false","none","Healthcare,Agadir"
"Groupe Orient Express SA","Distribution & Commerce","Food & Beverage","Ifrane","97 Av Al Qods, Ifrane, Morocco","Entreprise du secteur Food & Beverage basée à Ifrane.","","","false","none","Food & Beverage,Ifrane"
"Al Ibtikar Technologies Tétouan","Services Professionnels","Maintenance Services","Tétouan","128 Bd Mohammed V, Tétouan, Morocco","Entreprise du secteur Maintenance Services basée à Tétouan.","","","false","none","Maintenance Services,Tétouan"
"Casaworks IT Groupe","Technologie & IT","IT & Software","Fès","80 Bd Moulay Ismail, Fès, Morocco","Entreprise du secteur IT & Software basée à Fès.","","","false","none","IT & Software,Fès"
"Maghreb Resort Ltd.","Distribution & Commerce","Retail","Béni Mellal","71 Bd Moulay Ismail, Béni Mellal, Morocco","Entreprise du secteur Retail basée à Béni Mellal.","","","false","none","Retail,Béni Mellal"
"Al Waha Industry Safi","Industrie & Chimie","Automotive","Safi","47 Bd Mohammed V, Safi, Morocco","Entreprise du secteur Automotive basée à Safi.","","","false","none","Automotive,Safi"
"Atlas Transport Ltd.","Services Professionnels","Security Services","Nador","182 Bd Mohammed V, Nador, Morocco","Entreprise du secteur Security Services basée à Nador.","","","false","none","Security Services,Nador"
"Nova Printing Consulting","Industrie & Chimie","Printing & Packaging","Tétouan","46 Bd Anfa, Tétouan, Morocco","Entreprise du secteur Printing & Packaging basée à Tétouan.","","","false","none","Printing & Packaging,Tétouan"
"Groupe Fes Fusion SA","Industrie & Chimie","Pharmaceuticals","Settat","101 Bd Abdelmoumen, Settat, Morocco","Entreprise du secteur Pharmaceuticals basée à Settat.","","","false","none","Pharmaceuticals,Settat"
"Tanger Impact Holding","Technologie & IT","Telecom","Tanger","168 Rue Al Massira, Tanger, Morocco","Entreprise du secteur Telecom basée à Tanger.","","","false","none","Telecom,Tanger"
"Al Massar Build Groupe","Technologie & IT","IT & Software","Khemisset","129 Rue Al Massira, Khemisset, Morocco","Entreprise du secteur IT & Software basée à Khemisset.","","","false","none","IT & Software,Khemisset"
"Omega Ingénierie Nador","Distribution & Commerce","Retail","Nador","16 Rue Moulay Youssef, Nador, Morocco","Entreprise du secteur Retail basée à Nador.","","","false","none","Retail,Nador"
"Al Maghrib Prime Holding","Industrie & Chimie","Agriculture","El Jadida","99 Rue Moulay Youssef, El Jadida, Morocco","Entreprise du secteur Agriculture basée à El Jadida.","","","false","none","Agriculture,El Jadida"
