"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Marrakech Université Privée Béni Mellal","Industrie & Chimie","Mining","Béni Mellal","68 Rue Al Massira, Béni Mellal, Morocco","Entreprise du secteur Mining basée à Béni Mellal.","","","false","none","Mining,Béni Mellal"
"Dar Al Accounting Immobilier","Banque & Finance","Accounting & Audit","Dakhla","44 Bd Abdelmoumen, Dakhla, Morocco","Entreprise du secteur Accounting & Audit basée à Dakhla.","","","false","none","Accounting & Audit,Dakhla"
"Groupe Orient Avenir SARL AU","Centres d'Appel & BPO","BPO / Call Center","Guelmim","17 Bd Mohammed V, Guelmim, Morocco","Entreprise du secteur BPO / Call Center basée à Guelmim.","","","false","none","BPO / Call Center,Guelmim"
"Sahara Construction Co.","Banque & Finance","Accounting & Audit","Rabat","43 Bd Abdelmoumen, Rabat, Morocco","Entreprise du secteur Accounting & Audit basée à Rabat.","","","false","none","Accounting & Audit,Rabat"
"Al Wifaq Banking Packaging","Banque & Finance","Banking","Larache","4 Bd Anfa, Larache, Morocco","Entreprise du secteur Banking basée à Larache.","","","false","none","Banking,Larache"
"Ibn Smart Taza Market","Industrie & Chimie","Mining","Taza","132 Bd Zerktouni, Taza, Morocco","Entreprise du secteur Mining basée à Taza.","","","false","none","Mining,Taza"
"Horizon Healthcare Trading","Santé & Bien-être","Healthcare","Khemisset","135 Bd Anfa, Khemisset, Morocco","Entreprise du secteur Healthcare basée à Khemisset.","","","false","none","Healthcare,Khemisset"
"Groupe Al Massar Innov Ltd.","Services Professionnels","Security Services","Berkane","148 Rue Moulay Youssef, Berkane, Morocco","Entreprise du secteur Security Services basée à Berkane.","","","false","none","Security Services,Berkane"
"Global Systems Ltd.","Industrie & Chimie","Printing & Packaging","Salé","57 Rue Al Massira, Salé, Morocco","Entreprise du secteur Printing & Packaging basée à Salé.","","","false","none","Printing & Packaging,Salé"
"Al Nour Media Foods","Santé & Bien-être","Healthcare","Larache","124 Av Mohammed VI, Larache, Morocco","Entreprise du secteur Healthcare basée à Larache.","","","false","none","Healthcare,Larache"
"Atlas Partenaires SA","Hôtels & Hébergement","Hospitality","Béni Mellal","23 Rue Al Massira, Béni Mellal, Morocco","Entreprise du secteur Hospitality basée à Béni Mellal.","","","false","none","Hospitality,Béni Mellal"
"Orient Green Construction","Énergie & Environnement","Energy","Guelmim","32 Bd Abdelmoumen, Guelmim, Morocco","Entreprise du secteur Energy basée à Guelmim.","","","false","none","Energy,Guelmim"
"Atlas Solutions SAS","Immobilier & Construction","Real Estate","Agadir","72 Bd Mohammed V, Agadir, Morocco","Entreprise du secteur Real Estate basée à Agadir.","","","false","none","Real Estate,Agadir"
"Al Massar Security Services Groupe","Services Professionnels","Security Services","Oujda","127 Av Hassan II, Oujda, Morocco","Entreprise du secteur Security Services basée à Oujda.","","","false","none","Security Services,Oujda"
"Al Manar Connect Print","Centres d'Appel & BPO","BPO / Call Center","Béni Mellal","172 Bd Anfa, Béni Mellal, Morocco","Entreprise du secteur BPO / Call Center basée à Béni Mellal.","","","false","none","BPO / Call Center,Béni Mellal"
"Al Massar Technologies SAS","Technologie & IT","Telecom","Dakhla","101 Av Al Qods, Dakhla, Morocco","Entreprise du secteur Telecom basée à Dakhla.","","","false","none","Telecom,Dakhla"
"Al Maghrib Innov El Jadida Resort","Banque & Finance","Insurance","El Jadida","13 Bd Mohammed V, El Jadida, Morocco","Entreprise du secteur Insurance basée à El Jadida.","","","false","none","Insurance,El Jadida"
"Fes Prime Ingénierie","Industrie & Chimie","Textiles","La�youne","133 Bd Abdelmoumen, La�youne, Morocco","Entreprise du secteur Textiles basée à La�youne.","","","false","none","Textiles,La�youne"
"Agadir Industries SARL","Distribution & Commerce","Retail","Khouribga","44 Bd Moulay Ismail, Khouribga, Morocco","Entreprise du secteur Retail basée à Khouribga.","","","false","none","Retail,Khouribga"
"Al Waha Systems Temara","Banque & Finance","Accounting & Audit","Temara","163 Bd Mohammed V, Temara, Morocco","Entreprise du secteur Accounting & Audit basée à Temara.","","","false","none","Accounting & Audit,Temara"
"Agadir Marketing Services","Services Professionnels","Marketing & Advertising","El Jadida","71 Av Fal Ould Oumeir, El Jadida, Morocco","Entreprise du secteur Marketing & Advertising basée à El Jadida.","","","false","none","Marketing & Advertising,El Jadida"
"Groupe Fes Plus Ltd.","Services Professionnels","Engineering","Fès","53 Bd Abdelmoumen, Fès, Morocco","Entreprise du secteur Engineering basée à Fès.","","","false","none","Engineering,Fès"
"Amazigh Plus Systems","Industrie & Chimie","Agriculture","Ksar El Kebir","128 Rue Moulay Youssef, Ksar El Kebir, Morocco","Entreprise du secteur Agriculture basée à Ksar El Kebir.","","","false","none","Agriculture,Ksar El Kebir"
"Atlas Packaging Berkane","Distribution & Commerce","Import/Export","Berkane","4 Av Hassan II, Berkane, Morocco","Entreprise du secteur Import/Export basée à Berkane.","","","false","none","Import/Export,Berkane"
"Casa Clinic Agadir","Distribution & Commerce","Import/Export","Agadir","150 Rue Moulay Youssef, Agadir, Morocco","Entreprise du secteur Import/Export basée à Agadir.","","","false","none","Import/Export,Agadir"
"Groupe Engineering Conseil","Services Professionnels","Engineering","Dakhla","18 Av Mohammed VI, Dakhla, Morocco","Entreprise du secteur Engineering basée à Dakhla.","","","false","none","Engineering,Dakhla"
"Al Moutamayyiz Industry Oujda","Distribution & Commerce","E-commerce","Oujda","10 Bd Abdelmoumen, Oujda, Morocco","Entreprise du secteur E-commerce basée à Oujda.","","","false","none","E-commerce,Oujda"
"Al Amal Media Ifrane Construction","Technologie & IT","Telecom","Ifrane","82 Rue Moulay Youssef, Ifrane, Morocco","Entreprise du secteur Telecom basée à Ifrane.","","","false","none","Telecom,Ifrane"
"Nova Green Distribution","Transport & Logistique","Logistics & Transport","Casablanca","177 Bd Abdelmoumen, Casablanca, Morocco","Entreprise du secteur Logistics & Transport basée à Casablanca.","","","false","none","Logistics & Transport,Casablanca"
"Marocain Groupe Safi","Industrie & Chimie","Manufacturing","Safi","10 Av Mohammed VI, Safi, Morocco","Entreprise du secteur Manufacturing basée à Safi.","","","false","none","Manufacturing,Safi"
"Groupe Al Maghrib Care SARL","Distribution & Commerce","Food & Beverage","El Jadida","70 Bd Zerktouni, El Jadida, Morocco","Entreprise du secteur Food & Beverage basée à El Jadida.","","","false","none","Food & Beverage,El Jadida"
"Nova Impact Khouribga Trading","Industrie & Chimie","Printing & Packaging","Khouribga","69 Bd Mohammed V, Khouribga, Morocco","Entreprise du secteur Printing & Packaging basée à Khouribga.","","","false","none","Printing & Packaging,Khouribga"
"Vertex Manufacturing Groupe","Industrie & Chimie","Manufacturing","Temara","92 Bd Mohammed V, Temara, Morocco","Entreprise du secteur Manufacturing basée à Temara.","","","false","none","Manufacturing,Temara"
"Marrakech Construction Partenaires","Immobilier & Construction","Construction","Salé","85 Bd Anfa, Salé, Morocco","Entreprise du secteur Construction basée à Salé.","","","false","none","Construction,Salé"
"Al Wifaq Automotive Services","Industrie & Chimie","Automotive","El Jadida","102 Bd Mohammed V, El Jadida, Morocco","Entreprise du secteur Automotive basée à El Jadida.","","","false","none","Automotive,El Jadida"
"Al Atlas Université Privée Ltd.","Services Professionnels","Engineering","Marrakech","34 Rue Ibn Sina, Marrakech, Morocco","Entreprise du secteur Engineering basée à Marrakech.","","","false","none","Engineering,Marrakech"
"Ibn City Safi Group","Distribution & Commerce","Food & Beverage","Safi","61 Rue Al Massira, Safi, Morocco","Entreprise du secteur Food & Beverage basée à Safi.","","","false","none","Food & Beverage,Safi"
"Groupe Groupe Trade SAS","Industrie & Chimie","Pharmaceuticals","Safi","181 Rue Al Massira, Safi, Morocco","Entreprise du secteur Pharmaceuticals basée à Safi.","","","false","none","Pharmaceuticals,Safi"
"Alpha Import/Export Hospital","Distribution & Commerce","Import/Export","El Jadida","52 Av Fal Ould Oumeir, El Jadida, Morocco","Entreprise du secteur Import/Export basée à El Jadida.","","","false","none","Import/Export,El Jadida"
"Horizon Tech Academy","Services Professionnels","Maintenance Services","Mohammedia","61 Bd Mohammed V, Mohammedia, Morocco","Entreprise du secteur Maintenance Services basée à Mohammedia.","","","false","none","Maintenance Services,Mohammedia"
"Al Baraka Park Casablanca Transport","Industrie & Chimie","Pharmaceuticals","Casablanca","77 Rue Moulay Youssef, Casablanca, Morocco","Entreprise du secteur Pharmaceuticals basée à Casablanca.","","","false","none","Pharmaceuticals,Casablanca"
"Dynamiq Innov Meknès Industry","Industrie & Chimie","Manufacturing","Meknès","116 Bd Anfa, Meknès, Morocco","Entreprise du secteur Manufacturing basée à Meknès.","","","false","none","Manufacturing,Meknès"
"Horizon Clinic SARL","Industrie & Chimie","Printing & Packaging","Tétouan","166 Bd Zerktouni, Tétouan, Morocco","Entreprise du secteur Printing & Packaging basée à Tétouan.","","","false","none","Printing & Packaging,Tétouan"
"Al Yassir Construction Casablanca","Services Professionnels","Legal Services","Casablanca","138 Av Mohammed VI, Casablanca, Morocco","Entreprise du secteur Legal Services basée à Casablanca.","","","false","none","Legal Services,Casablanca"
"Al Nour IT Market","Technologie & IT","IT & Software","Marrakech","114 Bd Moulay Ismail, Marrakech, Morocco","Entreprise du secteur IT & Software basée à Marrakech.","","","false","none","IT & Software,Marrakech"
"Al Bahja Transport Agadir","Centres d'Appel & BPO","BPO / Call Center","Agadir","12 Bd Mohammed V, Agadir, Morocco","Entreprise du secteur BPO / Call Center basée à Agadir.","","","false","none","BPO / Call Center,Agadir"
"Al Baraka Trading Agadir","Distribution & Commerce","Food & Beverage","Agadir","192 Rue Al Massira, Agadir, Morocco","Entreprise du secteur Food & Beverage basée à Agadir.","","","false","none","Food & Beverage,Agadir"
"Al Manar Avenir Tanger Partenaires","Énergie & Environnement","Energy","Tanger","44 Rue Ibn Sina, Tanger, Morocco","Entreprise du secteur Energy basée à Tanger.","","","false","none","Energy,Tanger"
"Dar Foods Oujda","Distribution & Commerce","E-commerce","Oujda","167 Bd Abdelmoumen, Oujda, Morocco","Entreprise du secteur E-commerce basée à Oujda.","","","false","none","E-commerce,Oujda"
"Horizon Maintenance Errachidia","Industrie & Chimie","Manufacturing","Errachidia","186 Bd Mohammed V, Errachidia, Morocco","Entreprise du secteur Manufacturing basée à Errachidia.","","","false","none","Manufacturing,Errachidia"
"Andalous Industry Oujda","Services Professionnels","Legal Services","Oujda","32 Rue Ibn Sina, Oujda, Morocco","Entreprise du secteur Legal Services basée à Oujda.","","","false","none","Legal Services,Oujda"
"Marocain Centre Errachidia","Immobilier & Construction","Construction","Errachidia","44 Bd Zerktouni, Errachidia, Morocco","Entreprise du secteur Construction basée à Errachidia.","","","false","none","Construction,Errachidia"
"Groupe Atlas Media SAS","Distribution & Commerce","Retail","Ouarzazate","175 Av Fal Ould Oumeir, Ouarzazate, Morocco","Entreprise du secteur Retail basée à Ouarzazate.","","","false","none","Retail,Ouarzazate"
"Andalous Eco Conseil","Technologie & IT","Telecom","El Jadida","60 Bd Mohammed V, El Jadida, Morocco","Entreprise du secteur Telecom basée à El Jadida.","","","false","none","Telecom,El Jadida"
"Al Fath Consulting SARL","Santé & Bien-être","Healthcare","Tétouan","20 Av Al Qods, Tétouan, Morocco","Entreprise du secteur Healthcare basée à Tétouan.","","","false","none","Healthcare,Tétouan"
"Al Ibtikar Holding SA","Distribution & Commerce","Food & Beverage","Ouarzazate","41 Rue Ibn Sina, Ouarzazate, Morocco","Entreprise du secteur Food & Beverage basée à Ouarzazate.","","","false","none","Food & Beverage,Ouarzazate"
"Alpha Construction Ltd.","Banque & Finance","Accounting & Audit","Meknès","126 Rue Ibn Sina, Meknès, Morocco","Entreprise du secteur Accounting & Audit basée à Meknès.","","","false","none","Accounting & Audit,Meknès"
"Al Ibtikar Trade Technologies","Banque & Finance","Banking","Berkane","51 Bd Abdelmoumen, Berkane, Morocco","Entreprise du secteur Banking basée à Berkane.","","","false","none","Banking,Berkane"
"Al Baraka Centre Rabat Market","Distribution & Commerce","E-commerce","Rabat","96 Rue Ibn Sina, Rabat, Morocco","Entreprise du secteur E-commerce basée à Rabat.","","","false","none","E-commerce,Rabat"
"Al Amal Education Solutions","Éducation & Formation","Education","Errachidia","32 Av Hassan II, Errachidia, Morocco","Entreprise du secteur Education basée à Errachidia.","","","false","none","Education,Errachidia"
"Horizon One Consulting","Distribution & Commerce","Retail","Mohammedia","95 Av Fal Ould Oumeir, Mohammedia, Morocco","Entreprise du secteur Retail basée à Mohammedia.","","","false","none","Retail,Mohammedia"
