"name","category","subcategory","city","location","description","phone","website","is_premium","tier","tags"
"Al Nour Import/Export Solutions","Distribution & Commerce","Import/Export","Temara","177 Av Hassan II, Temara, Morocco","Entreprise du secteur Import/Export basée à Temara.","","","false","none","Import/Export,Temara"
"Andalous Technologies Errachidia","Technologie & IT","IT & Software","Errachidia","82 Av Fal Ould Oumeir, Errachidia, Morocco","Entreprise du secteur IT & Software basée à Errachidia.","","","false","none","IT & Software,Errachidia"
"Elite Logistique Salé","Industrie & Chimie","Textiles","Salé","137 Bd Mohammed V, Salé, Morocco","Entreprise du secteur Textiles basée à Salé.","","","false","none","Textiles,Salé"
"Al Kheir Holding Fès","Éducation & Formation","Education","Fès","99 Bd Moulay Ismail, Fès, Morocco","Entreprise du secteur Education basée à Fès.","","","false","none","Education,Fès"
"Fes Prime Marrakech Consulting","Industrie & Chimie","Automotive","Marrakech","87 Av Mohammed VI, Marrakech, Morocco","Entreprise du secteur Automotive basée à Marrakech.","","","false","none","Automotive,Marrakech"
"Al Moutamayyiz Technologies Ifrane","Services Professionnels","Maintenance Services","Ifrane","4 Rue Al Massira, Ifrane, Morocco","Entreprise du secteur Maintenance Services basée à Ifrane.","","","false","none","Maintenance Services,Ifrane"
"Elite Market Safi","Services Professionnels","Legal Services","Safi","138 Bd Mohammed V, Safi, Morocco","Entreprise du secteur Legal Services basée à Safi.","","","false","none","Legal Services,Safi"
"Maghreb Insurance Group","Banque & Finance","Insurance","Tanger","198 Bd Zerktouni, Tanger, Morocco","Entreprise du secteur Insurance basée à Tanger.","","","false","none","Insurance,Tanger"
"Vertex One Nador Partners","Services Professionnels","Legal Services","Nador","4 Rue Al Massira, Nador, Morocco","Entreprise du secteur Legal Services basée à Nador.","","","false","none","Legal Services,Nador"
"Al Nour Industry SA","Santé & Bien-être","Healthcare","Oujda","2 Bd Mohammed V, Oujda, Morocco","Entreprise du secteur Healthcare basée à Oujda.","","","false","none","Healthcare,Oujda"
"Nova Foods SARL","Banque & Finance","Insurance","Nador","183 Av Fal Ould Oumeir, Nador, Morocco","Entreprise du secteur Insurance basée à Nador.","","","false","none","Insurance,Nador"
"Elite Partners Temara","Distribution & Commerce","Retail","Temara","113 Bd Mohammed V, Temara, Morocco","Entreprise du secteur Retail basée à Temara.","","","false","none","Retail,Temara"
"Maroc Digital SARL AU","Centres d'Appel & BPO","BPO / Call Center","Agadir","31 Av Fal Ould Oumeir, Agadir, Morocco","Entreprise du secteur BPO / Call Center basée à Agadir.","","","false","none","BPO / Call Center,Agadir"
"Al Wifaq Marina Groupe","Industrie & Chimie","Pharmaceuticals","Agadir","69 Bd Mohammed V, Agadir, Morocco","Entreprise du secteur Pharmaceuticals basée à Agadir.","","","false","none","Pharmaceuticals,Agadir"
"Ibn Sud Meknès Industry","Services Professionnels","Security Services","Meknès","48 Bd Moulay Ismail, Meknès, Morocco","Entreprise du secteur Security Services basée à Meknès.","","","false","none","Security Services,Meknès"
"Groupe Al Yassir Sud SAS","Services Professionnels","Maintenance Services","Khemisset","181 Rue Ibn Sina, Khemisset, Morocco","Entreprise du secteur Maintenance Services basée à Khemisset.","","","false","none","Maintenance Services,Khemisset"
"Ibn Maintenance Temara","Transport & Logistique","Logistics & Transport","Temara","164 Rue Ibn Sina, Temara, Morocco","Entreprise du secteur Logistics & Transport basée à Temara.","","","false","none","Logistics & Transport,Temara"
"Al Waha Marina Fès Distribution","Distribution & Commerce","E-commerce","Fès","84 Rue Al Massira, Fès, Morocco","Entreprise du secteur E-commerce basée à Fès.","","","false","none","E-commerce,Fès"
